MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
6880;78805;Wade Phillips;M;B;Raw;22;Juniors;105.2;120;;;;;;140;150;155;;155;;;;;;155;1;92.56;93.48
6881;78805;Wade Phillips;M;B;Single-ply;22;Juniors;103.36;105;;;;;;170;187.5;192.5;;192.5;;;;;;192.5;1;115.68;116.84
6882;78805;Wade Phillips;M;SBD;Raw;22;Juniors;103.28;105;230;245;-252.5;;245;150;157.5;-160;;157.5;240;-252.5;-252.5;;240;642.5;1;386.21;390.07
6946;78805;Wade Phillips;M;SBD;Raw;21.5;Juniors;103.65;105;250;-260;-260;;250;140;150;-155;;150;240;250;-260;;250;650;3;390.21;390.21
787;20329;Wade Quayle;M;SBD;Single-ply;;Open;104.5;110;;;;;247.5;;;;;182.5;;;;;237.5;667.5;1;399.54;399.54
800;20329;Wade Quayle;M;SBD;Single-ply;;Open;110;110;;;;;265;;;;;175;;;;;252.5;692.5;2;407.53;407.53
812;20329;Wade Quayle;M;SBD;Single-ply;;Open;106.6;110;;;;;272.5;;;;;175.0;;;;;227.5;675.0;1;401.26;401.26
839;20329;Wade Quayle;M;SBD;Single-ply;;Open;106.1;110;;;;;262.5;;;;;180.0;;;;;237.5;680.0;1;404.87;404.87
857;20329;Wade Quayle;M;SBD;Single-ply;;Master 1;108.2;110;;;;;275.0;;;;;192.5;;;;;256.0;723.5;1;427.99;427.99
876;20329;Wade Quayle;M;B;Single-ply;;Master 1;112.3;125;;;;;;;;;;212.5;;;;;;212.5;1;124.29;124.29
7645;90965;Wade Rivest;M;SBD;Wraps;;Amateur Open;73.57;75;;;;;145.15;;;;;95.25;;;;;183.7;424.11;3;306.34;306.34
9798;121978;Wade Rolen;M;SBD;Single-ply;;Boys;70.03;75;;;;;138.35;;;;;63.5;;;;;145.15;347;8;259.95;259.95
