MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
11633;97734;Gary Grissinger;M;SBD;Single-ply;45;Open;102.51;110;;;;;240.00;;;;;177.50;;;;;272.50;689.99;2;415.91;438.79
11633;97734;Gary Grissinger;M;SBD;Single-ply;45;Master 45-49;102.51;110;;;;;240.00;;;;;177.50;;;;;272.50;689.99;2;415.91;438.79
11643;97734;Gary Grissinger;M;SBD;Single-ply;;Open Men;100;100;;;;;272.50;;;;;182.50;;;;;285.00;739.99;1;450.35;450.35
11731;97734;Gary Grissinger;M;;Raw;50;Open Men;88.72;90;;;;;237.5;;;;;160;;;;;292.5;690;2;443.76;501.45
11731;97734;Gary Grissinger;M;;Raw;50;Master Men 50-54;88.72;90;;;;;237.5;;;;;160;;;;;292.5;690;1;443.76;501.45
11731;97734;Gary Grissinger;M;;Raw;50;Open Men;98.79;100;;;;;227.5;;;;;162.5;;;;;297.5;687.5;1;420.48;475.14
11731;97734;Gary Grissinger;M;;Raw;50;Master Men 50-54;98.79;100;;;;;227.5;;;;;162.5;;;;;297.5;687.5;1;420.48;475.14
11739;97734;Gary Grissinger;M;;Wraps;50;Open;98.7;100;;;;;257.5;;;;;167.5;;;;;317.5;742.5;3;454.29;513.34
11800;97734;Gary Grissinger;M;;Wraps;51;Open Men;105.96;110;;;;;260.00;;;;;175.00;;;;;310.00;745.00;1;443.78;509.01
11800;97734;Gary Grissinger;M;;Wraps;51;Master Men 50+;105.96;110;;;;;260.00;;;;;175.00;;;;;310.00;745.00;1;443.78;509.01
11800;97734;Gary Grissinger;M;;Raw;51;Open Men;106.78;110;;;;;;;;;;;;;;;320.00;320.00;1;190.12;218.07
11800;97734;Gary Grissinger;M;;Raw;51;Master Men 50+;106.78;110;;;;;;;;;;;;;;;320.00;320.00;1;190.12;218.07
11876;97734;Gary Grissinger;M;;Single-ply;52;Open Men;102.74;110;;;;;;;;;;;;;;;337.5;337.5;1;203.27;236.81
11888;97734;Gary Grissinger;M;;Raw;52;Open Men;99.47;100;;;;;250.00;;;;;172.50;;;;;322.50;745.00;2;454.37;529.34
11950;97734;Gary Grissinger;M;;Raw;53;Open;89.95;90;;;;;230;;;;;155;;;;;297.5;682.5;1;435.83;516.02
11971;97734;Gary Grissinger;M;;Wraps;53;Open;99.10;100;;;;;237.50;;;;;152.50;;;;;307.50;697.50;1;426.04;504.44
11977;97734;Gary Grissinger;M;;Raw;53;Master 50-54;98.80;100;;;;;220.00;;;;;155.00;;;;;300.00;675.00;1;412.81;488.77
