MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
10113;126147;Quade Miller;M;SBD;Single-ply;;Boys;81.47;82.5;;;;;188.24;;;;;129.27;;;;;192.78;510.29;1;344.46;344.46
10193;126147;Quade Miller;M;SBD;Single-ply;;Boys;82.1;82.5;;;;;188.24;;;;;129.27;;;;;201.85;519.36;1;348.94;348.94
10282;126147;Quade Miller;M;SBD;Single-ply;;Boys;81.19;82.5;;;;;190.51;;;;;133.81;;;;;210.92;535.24;5;362.06;362.06
10332;126147;Quade Miller;M;SBD;Single-ply;;Boys;80.92;82.5;;;;;210.92;;;;;140.61;;;;;215.46;566.99;3;384.33;384.33
11060;152469;Quadir Gibson;M;SBD;Raw;17.5;R-V;109.45;110;175;192.5;-215;;192.5;107.5;117.5;122.5;;122.5;227.5;247.5;262.5;;262.5;577.5;3;340.38;340.38
2746;46073;Quadros Leonardo;M;B;Raw;17.5;Subjunior;81.4;83;;;;;;107.5;122.5;-127.5;;122.5;;;;;;122.5;1;82.73;82.73
10038;126546;Quadryll Ramirez;M;SBD;Single-ply;;Boys;155.58;125+;;;;;172.37;;;;;127.01;;;;;190.51;489.88;3;269.65;269.65
10162;126546;Quadryll Ramirez;M;SBD;Single-ply;;Boys;155.13;125+;;;;;208.65;;;;;127.01;;;;;195.04;530.7;5;292.24;292.24
10206;126546;Quadryll Ramirez;M;SBD;Single-ply;;Boys;155.04;125+;;;;;219.99;;;;;133.81;;;;;208.65;562.45;3;309.75;309.75
10252;126546;Quadryll Ramirez;M;SBD;Single-ply;;Boys;157.22;125+;;;;;238.14;;;;;129.27;;;;;204.12;571.53;2;314.12;314.12
10334;126546;Quadryll Ramirez;M;SBD;Single-ply;;Boys;158.49;125+;;;;;242.67;;;;;136.08;;;;;215.46;594.21;7;326.20;326.20
9736;119509;Quaid Bohn;M;SBD;Single-ply;;Boys;107.5;110;;;;;176.9;;;;;108.86;;;;;136.08;421.84;8;250.07;250.07
11931;172767;Qualamen Scott;M;;Raw;26;Open;102.42;110;;;;;212.5;;;;;155;;;;;235;602.5;4;363.29;363.29
11814;170166;Qualeah Eszell;F;;Single-ply;16;Junior Women 16-17;64.59;67.5;;;;;132.50;;;;;52.50;;;;;125.00;310.00;1;326.75;369.23
10256;131302;Qualyn Smith;M;SBD;Single-ply;;Boys;100.24;110;;;;;165.56;;;;;99.79;;;;;167.83;433.18;2;263.38;263.38
10809;143967;Quamecca Stafford;F;SBD;Single-ply;14.5;T1;46.72;47;102.1;113.4;;;113.4;52.2;61.2;;;61.2;102.1;124.7;;;124.7;299.4;1;404.40;404.40
11066;143967;Quamecca Stafford;F;SBD;Single-ply;14.5;HSV;49.70;52;112.5;122.5;130;;130.0;-67.5;-67.5;70;;70.0;142.5;155;-172.5;;155.0;355;2;458.13;458.13
11803;169971;Quan Bui;M;;Single-ply;16;Junior Men 16-17;73.07;75;;;;;137.5;;;;;92.5;;;;;170;400;1;290.34;328.09
10527;135982;Quan Cao;M;SBD;Raw;26;M-OR;89.09;93;200;210;-217.5;;210;-157.5;160;-165;;160;205;215;-222.5;;215;585;4;375.42;375.42
11843;135982;Quan Cao;M;;Raw;25;Open Men;89.68;90;;;;;195.00;;;;;152.50;;;;;205.00;552.50;4;353.35;353.35
6887;80365;Quan Duong;M;SBD;Raw;18.5;Juniors;82.3;83;155;162.5;172.5;;172.5;117.5;-125;-125;;117.5;175;185;200;;200;490;2;328.73;328.73
12426;182184;Quan Jin;M;SBD;Raw;26;Open;65.4;67.5;;;;;162.5;;;;;100;;;;;185;447.5;1;354.04;354.04
221;11042;Quan Tan Kang;M;SBD;Raw;20.5;Juniors;81.7;83;200;215;222.5;;222.5;150;160;-165;;160;235;250;-255;;250;632.5;1;426.22;426.22
10022;125991;Quanard Carter;M;SBD;Single-ply;;Boys;111.22;125;;;;;190.51;;;;;129.27;;;;;204.12;523.9;3;307.29;307.29
10142;125991;Quanard Carter;M;SBD;Single-ply;;Boys;110.4;125;;;;;206.38;;;;;131.54;;;;;206.38;544.31;3;319.97;319.97
10200;125991;Quanard Carter;M;SBD;Single-ply;;Boys;110.86;125;;;;;206.38;;;;;131.54;;;;;215.46;553.38;3;324.89;324.89
12657;186640;Quang Đức Nguyễn;M;SBD;Wraps;;Open;63.4;67.5;165;172.5;182.5;;182.5;-105;-105;-105;;;210;220;-240;;220;;DQ;;
291;13671;Quang Nguyen;M;SBD;Raw;;Open;73.63;74;157.5;167.5;-175;;167.5;112.5;-120;120;;120;190;200;207.5;;207.5;495;18;357.33;357.33
2498;13671;Quang Nguyen;M;SBD;Raw;;M-C-Open;82.9;83;-172.5;-172.5;177.5;;177.5;125;132.5;-137.5;;132.5;210;220;227.5;;227.5;537.5;3;359.04;359.04
7219;13671;Quang Nguyen;M;SBD;Raw;;;77.8;83;175;185;-195;;185;-112.5;-117.5;117.5;;117.5;220;-240;-240;;220;522.5;3;363.18;363.18
12657;186655;Quang Phương Vũ;M;SBD;Wraps;;Open;73.5;75;-155;160;-170;;160;95;100;-105;;100;160;165;175;;175;435;16;314.42;314.42
