MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
1412;27744;Pearl Bakhtiari-Shahin;F;SBD;Raw;;Open;60.8;63;;;;;100.0;;;;;50.0;;;;;102.5;252.5;1;278.64;278.64
12537;184193;Pearl Beck;F;B;Raw;19;Junior 18-19;41.6;44;;;;;;;;;;35;;;;;;35;1;51.08;53.13
11871;171569;Pearl Ferguson;F;;Wraps;28;Open Women;78.93;82.5;;;;;110;;;;;-70;;;;;150;;DQ;;
8465;109183;Pearl Lövgren;F;B;Raw;;Open;56.75;57;;;;;;;;;;62.50;;;;;;62.5;3;72.77;72.77
8480;109183;Pearl Lövgren;F;SBD;Raw;;Open;56.83;57;;;;;75.00;;;;;60.00;;;;;115.00;250.00;1;290.78;290.78
8508;109183;Pearl Lövgren;F;SBD;Raw;;Open;56.93;57;;;;;105.00;;;;;70.00;;;;;140.00;315.00;3;365.88;365.88
3223;65169;Pearl Mackey;F;SBD;Raw;;F-O;61.4;63;;;;;90;;;;;47.5;;;;;117.5;255;3;279.28;279.28
3227;65169;Pearl Mackey;F;SBD;Raw;;F-O;61.4;63;;;;;85;;;;;40;;;;;105;230;7;251.90;251.90
3230;65169;Pearl Mackey;F;SBD;Raw;;F-O;59.8;63;;;;;100;;;;;50;;;;;125;275;6;307.39;307.39
8283;105800;Pearl Maya;F;SBD;Multi-ply;;Open;105.23;90+;;;;;112.5;;;;;97.5;;;;;112.5;322.5;1;264.87;264.87
3913;72754;Pearse Okane;M;SBD;Raw;;Sen;102.2;105;230;250;-262.5;;250;130;140;-155;;140;260;280;-300;;280;670;2;404.32;404.32
3231;65382;Pearse Tohill;M;SBD;Raw;;M-O;91.8;93;;;;;200;;;;;107.5;;;;;260;567.5;7;358.73;358.73
3234;65382;Pearse Tohill;M;SBD;Raw;;M-O;91.2;93;;;;;205;;;;;107.5;;;;;272.5;585;4;370.99;370.99
3925;65382;Pearse Tohill;M;;Raw;;Jnr;91.6;93;170;180;-187.5;;180;87.5;92.5;97.5;;97.5;232.5;247.5;265;;265;542.5;1;343.29;343.29
10854;145410;Pearson Newsome;M;SBD;Raw;;R-O;72.9;74;147.5;-157.5;157.5;;157.5;100;107.5;-115;;107.5;175;190;-200;;190;455;3;330.82;330.82
10858;145410;Pearson Newsome;M;SBD;Raw;24.5;R-O;73.9;74;142.5;160;172.5;;172.5;102.5;107.5;112.5;;112.5;182.5;195;200;;200;485;4;349.20;349.20
206;9009;Pecante Erlina;F;SBD;Single-ply;41.5;Masters 1;83.2;90;180;-200.5;200.5;;200.5;95;115;;;115;170;-208;;;170;485;1;434.59;434.59
207;9009;Pecante Erlina;F;SBD;Single-ply;42.5;Open;82;82.5;200;216;-227.5;;216;100;117.5;122.5;;122.5;170;200;-216.5;;200;538.5;1;486.18;486.18
208;9009;Pecante Erlina;F;SBD;Single-ply;43.5;Masters 1;84.4;90;180;-211;-211;;180;105;-121;125;;125;180;200;;;200;505;1;449.27;449.27
200;8302;Pedamkar Mahesh;M;SBD;Single-ply;22.5;Open;55.6;56;;;;;192.5;;;;;130;;;;;215;537.5;3;492.77;492.77
208;8302;Pedamkar Mahesh;M;SBD;Single-ply;29.5;Open;59.75;60;225;235;240;;240;127.5;135;-140;;135;-215;215;-225;;215;590;2;505.12;505.12
3188;64003;Peder;M;B;Single-ply;;Open;135.8;125+;;;;;;;;;;230;;;;;;230;5;129.13;129.13
1943;31171;Peder Hindborg;M;SBD;Raw;26.5;Open;81.50;83;;;;;145.0;;;;;120.0;;;;;185.0;450.0;5;303.69;303.69
1948;31171;Peder Hindborg;M;B;Raw;26.5;Open;77.65;83;;;;;;;;;;110.0;;;;;;110.0;3;76.56;76.56
1957;31171;Peder Hindborg;M;SBD;Raw;26.5;Open;82.10;83;;;;;155.0;;;;;122.5;;;;;195.0;472.5;3;317.46;317.46
1965;31171;Peder Hindborg;M;SBD;Raw;27.5;Open;73.15;74;;;;;150.0;;;;;117.5;;;;;130.0;397.5;2;288.30;288.30
