MeetID;LifterID;Name;Sex;Event;Equipment;Age;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Wilks;McCulloch
9901;117254;Ethan Scruggs;M;SBD;Single-ply;;Boys;96.71;100;;;;;238.14;;;;;124.74;;;;;210.92;573.79;2;354.10;354.10
9962;117254;Ethan Scruggs;M;SBD;Single-ply;;Boys;96.16;100;;;;;229.06;;;;;124.74;;;;;217.72;571.53;2;353.59;353.59
9993;117254;Ethan Scruggs;M;SBD;Single-ply;;Boys;100;100;;;;;;;;;;;;;;;;;DQ;;
10164;130174;Ethan Shadid;M;SBD;Single-ply;;Boys;68.04;75;;;;;124.74;;;;;79.38;;;;;147.42;351.53;10;269.32;269.32
10262;130174;Ethan Shadid;M;SBD;Single-ply;;Boys;68.58;75;;;;;145.15;;;;;79.38;;;;;165.56;390.09;4;297.01;297.01
9767;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys;81.19;82.5;;;;;195.04;;;;;92.99;;;;;195.04;483.08;1;326.78;326.78
9837;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys;81.19;82.5;;;;;199.58;;;;;97.52;;;;;204.12;501.22;2;339.05;339.05
9956;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys Varsity;81.19;82.5;;;;;201.85;;;;;104.33;;;;;210.92;517.1;1;349.79;349.79
9989;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys;81.06;82.5;;;;;201.85;;;;;106.59;;;;;208.65;517.1;7;350.14;350.14
10177;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys;88.9;90;;;;;217.72;;;;;120.2;;;;;217.72;555.65;3;356.98;356.98
10196;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys;88.45;90;;;;;217.72;;;;;120.2;;;;;195.04;532.97;4;343.32;343.32
10300;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys;94.35;100;;;;;217.72;;;;;124.74;;;;;217.72;560.19;3;349.55;349.55
10329;121074;Ethan Shaeffer;M;SBD;Single-ply;;Boys;92.58;100;;;;;213.19;;;;;129.27;;;;;219.99;562.45;4;354.09;354.09
12445;182464;Ethan Sharpe;M;SBD;Raw;24;Open;87.6;90;;;;;157.5;;;;;102.5;;;;;217.5;477.5;3;309.17;309.17
7230;83238;Ethan Smith;M;SBD;Raw;20.5;;81.7;83;175;185;190;;190;117.5;125;-127.5;;125;190;205;220;;220;535;2;360.52;360.52
7252;83238;Ethan Smith;M;B;Raw;20.5;;82.35;83;;;;;;127.5;130;-132.5;;130;;;;;;130;2;87.18;87.18
10053;83238;Ethan Smith;M;SBD;Single-ply;;Boys;179.17;125+;;;;;158.76;;;;;92.99;;;;;181.44;433.18;2;233.30;233.30
10123;83238;Ethan Smith;M;SBD;Single-ply;;Boys;177.35;125+;;;;;181.44;;;;;106.59;;;;;204.12;492.15;3;265.49;265.49
10213;83238;Ethan Smith;M;SBD;Single-ply;;Boys;174.09;125+;;;;;183.7;;;;;97.52;;;;;226.8;508.02;5;274.88;274.88
10262;83238;Ethan Smith;M;SBD;Single-ply;;Boys;174.36;125+;;;;;204.12;;;;;99.79;;;;;226.8;530.7;2;287.08;287.08
12427;83238;Ethan Smith;M;SBD;Wraps;21;Junior 20-23;109.1;110;;;;;210;;;;;155;;;;;262.5;627.5;1;370.22;377.63
12514;83238;Ethan Smith;M;SBD;Wraps;21;Junior 20-23;111.1;125;;;;;227.5;;;;;155;;;;;265;647.5;1;379.91;387.50
9795;121886;Ethan Snow;M;SBD;Single-ply;;Boys;67.13;67.5;;;;;151.95;;;;;72.57;;;;;145.15;369.68;5;286.29;286.29
9861;121886;Ethan Snow;M;SBD;Single-ply;;Boys;69.04;75;;;;;167.83;;;;;79.38;;;;;156.49;403.7;4;305.77;305.77
10035;121886;Ethan Snow;M;SBD;Single-ply;;Boys;;;;;;;;;;;;;;;;;;;DQ;;
10104;121886;Ethan Snow;M;SBD;Single-ply;;Boys;71.4;75;;;;;183.7;;;;;79.38;;;;;;;DQ;;
10187;121886;Ethan Snow;M;SBD;Single-ply;;Boys;71.94;75;;;;;188.24;;;;;79.38;;;;;149.69;417.3;3;306.36;306.36
7662;92022;Ethan Snyder;M;SBD;Raw;;Amateur Teen 16-17;73.03;75;;;;;156.49;;;;;106.59;;;;;195.04;458.12;1;332.66;332.66
7733;92022;Ethan Snyder;M;SBD;Raw;;Amateur Teen 16-17;79.65;82.5;;;;;163.29;;;;;124.74;;;;;199.58;487.61;1;333.82;333.82
9728;118941;Ethan Solomon;M;SBD;Single-ply;;Boys;88.54;90;;;;;149.69;;;;;77.11;;;;;149.69;376.48;9;242.38;242.38
9806;118941;Ethan Solomon;M;SBD;Single-ply;;Boys;88.13;90;;;;;147.42;;;;;83.91;;;;;158.76;390.09;9;251.76;251.76
9906;118941;Ethan Solomon;M;SBD;Single-ply;;Boys;88.41;90;;;;;158.76;;;;;77.11;;;;;167.83;403.7;8;260.11;260.11
10060;118941;Ethan Solomon;M;SBD;Single-ply;;Boys;90.63;100;;;;;195.04;;;;;106.59;;;;;192.78;494.42;6;314.53;314.53
10143;118941;Ethan Solomon;M;SBD;Single-ply;;Boys;;;;;;;;;;;;;;;;;;;DQ;;
10226;118941;Ethan Solomon;M;SBD;Single-ply;;Boys;90.26;100;;;;;197.31;;;;;115.67;;;;;192.78;505.76;6;322.40;322.40
9730;119002;Ethan Stack;M;SBD;Single-ply;;Boys;49.8;52;;;;;97.52;;;;;65.77;;;;;127.01;290.3;2;298.32;298.32
9799;119002;Ethan Stack;M;SBD;Single-ply;;Boys;49.35;52;;;;;106.59;;;;;68.04;;;;;129.27;303.91;1;315.42;315.42
9855;119002;Ethan Stack;M;SBD;Single-ply;;Boys;51.17;52;;;;;115.67;;;;;70.31;;;;;131.54;317.51;1;316.90;316.90
9961;119002;Ethan Stack;M;SBD;Single-ply;;Boys;49.99;52;;;;;122.47;;;;;72.57;;;;;136.08;331.12;2;338.86;338.86
9986;119002;Ethan Stack;M;SBD;Single-ply;;Boys;50.62;52;;;;;124.74;;;;;74.84;;;;;;;DQ;;
10104;119002;Ethan Stack;M;SBD;Single-ply;;Boys;50.89;52;;;;;120.2;;;;;88.45;;;;;138.35;347;1;348.36;348.36
10186;119002;Ethan Stack;M;SBD;Single-ply;;Boys;51.35;52;;;;;129.27;;;;;86.18;;;;;147.42;362.87;1;360.83;360.83
10232;119002;Ethan Stack;M;SBD;Single-ply;;Boys;50.8;52;;;;;122.47;;;;;92.99;;;;;149.69;365.14;1;367.27;367.27
10301;119002;Ethan Stack;M;SBD;Single-ply;;Boys;51.62;52;;;;;133.81;;;;;86.18;;;;;154.22;374.21;1;370.04;370.04
12003;174274;Ethan Steffey;M;;Wraps;15;Junior 13-15;80.6;82.5;;;;;112.5;;;;;102.5;;;;;147.5;362.5;1;246.32;290.66
12043;174274;Ethan Steffey;M;;Single-ply;16;Junior 16-17;80.70;82.5;;;;;;;;;;140.00;;;;;;140.00;1;95.06;107.42
9749;120088;Ethan Stevens;M;SBD;Single-ply;;Boys;70.31;75;;;;;151.95;;;;;99.79;;;;;154.22;405.97;8;303.21;303.21
9823;120088;Ethan Stevens;M;SBD;Single-ply;;Boys;71.67;75;;;;;158.76;;;;;99.79;;;;;163.29;421.84;16;310.56;310.56
10140;129817;Ethan Strong;M;SBD;Single-ply;;Boys;144.29;125+;;;;;181.44;;;;;102.06;;;;;165.56;449.06;8;249.83;249.83
10198;129817;Ethan Strong;M;SBD;Single-ply;;Boys;143.52;125+;;;;;231.33;;;;;108.86;;;;;172.37;512.56;8;285.38;285.38
10280;129817;Ethan Strong;M;SBD;Single-ply;;Boys;141.97;125+;;;;;238.14;;;;;127.01;;;;;192.78;557.92;4;311.13;311.13
9735;119362;Ethan Tackitt;M;SBD;Single-ply;;Boys;69.85;75;;;;;99.79;;;;;63.5;;;;;127.01;290.3;13;217.90;217.90
9840;119362;Ethan Tackitt;M;SBD;Single-ply;;Boys;71.62;75;;;;;106.59;;;;;72.57;;;;;138.35;317.51;9;233.87;233.87
9896;119362;Ethan Tackitt;M;SBD;Single-ply;;Boys;70.81;75;;;;;115.67;;;;;68.04;;;;;136.08;319.78;8;237.56;237.56
9958;119362;Ethan Tackitt;M;SBD;Single-ply;;Boys;72.03;75;;;;;120.2;;;;;72.57;;;;;142.88;335.66;6;246.20;246.20
10056;119362;Ethan Tackitt;M;SBD;Single-ply;;Boys;69.9;75;;;;;106.59;;;;;68.04;;;;;147.42;322.05;6;241.60;241.60
